日付,2021_5_30__23_34_56
年齢,12
性別,男性
右手
スコア(秒),21.08918
時間,手の甲の位置,,手の力_親指,人差し指...
time(s),x,y,z
0.0647227,44.98384, 247.9751, 41.63107
0.1294454,43.40831, 242.1126, 36.57965
0.1494454,43.40831, 242.1126, 36.57965
0.1593632,42.89511, 239.7008, 35.15531
0.164003,42.33887, 237.2972, 33.62849
0.1697787,41.92101, 235.1387, 32.24498
0.1738092,41.58177, 233.1595, 30.92438
0.178739,41.34459, 231.0956, 29.54547
0.1834017,41.20452, 228.8361, 28.22633
0.1878082,41.11934, 226.3064, 26.80238
0.1923323,41.06703, 223.7825, 25.54411
0.1965944,41.06703, 223.7825, 25.54411
0.2016192,41.02438, 221.2127, 24.33024
0.2059118,40.99675, 218.9835, 23.30368
0.2097265,41.00636, 216.9302, 22.40408
0.2144189,41.00636, 216.9302, 22.40408
0.2186771,40.98291, 214.9274, 21.58491
0.2233739,40.94511, 212.9795, 20.75585
0.2273457,40.84027, 211.0877, 19.97864
0.2313992,40.75612, 209.0846, 19.26795
0.2360863,40.63717, 207.0245, 18.50373
0.2402336,40.46066, 204.8048, 17.68019
0.2447115,40.23495, 202.5372, 16.79256
0.2488805,40.23495, 202.5372, 16.79256
0.2531596,39.94122, 200.1735, 15.88812
0.2580116,39.94122, 200.1735, 15.88812
0.2619455,39.71061, 197.9884, 14.93984
0.2669308,39.50594, 195.8913, 14.09305
0.2709429,39.25027, 193.9579, 13.41349
0.2752025,38.93311, 192.1496, 12.90334
0.2796308,38.93311, 192.1496, 12.90334
0.284178,38.54388, 190.3829, 12.45337
0.2887383,38.09444, 188.6015, 12.09332
0.293355,37.63419, 186.9896, 11.76031
0.2973514,37.17551, 185.4708, 11.54646
0.3026881,37.17551, 185.4708, 11.54646
0.3067535,36.71702, 183.9812, 11.32426
0.3112292,36.35909, 182.7325, 11.17035
0.3152259,35.93555, 181.5141, 11.02994
0.3196432,35.51, 180.4141, 10.84861
0.3241546,35.51, 180.4141, 10.84861
0.3283556,35.08226, 179.4375, 10.66286
0.3325596,34.63895, 178.4425, 10.38751
0.3378406,34.16525, 177.7527, 10.16098
0.3419572,33.66298, 177.5058, 9.932708
0.3471018,33.66298, 177.5058, 9.932708
0.3520546,33.18069, 177.6635, 9.751122
0.3570663,32.78058, 178.1432, 9.65311
0.3625309,32.28905, 178.9498, 9.718342
0.3678792,32.28905, 178.9498, 9.718342
0.3722428,31.65584, 179.8947, 9.799612
0.3764512,30.95414, 180.8889, 9.929626
0.3813958,30.06145, 181.9171, 9.838185
0.3863192,29.08509, 182.9612, 9.629905
0.3912131,29.08509, 182.9612, 9.629905
0.3957098,27.94556, 184.2893, 9.599266
0.4006975,26.75306, 186.4118, 9.674145
0.4050014,25.35691, 188.2339, 9.571797
0.4091867,23.82176, 190.7008, 9.722513
0.4142049,23.82176, 190.7008, 9.722513
0.4187913,22.15024, 193.2853, 9.921146
0.4237585,20.24737, 196.3367, 9.951687
0.4279272,18.19076, 199.2733, 9.984757
0.4325611,15.95323, 202.8884, 10.19706
0.4376696,15.95323, 202.8884, 10.19706
0.4417999,13.67077, 206.5981, 10.36554
0.4466964,11.24917, 210.4974, 10.7344
0.4514171,8.722492, 214.3783, 10.88469
0.4570268,6.065488, 218.3255, 11.09213
0.4612399,6.065488, 218.3255, 11.09213
0.4676581,3.225773, 222.5497, 11.16405
0.4726736,0.347531, 227.1879, 10.9137
0.4767541,-2.805481, 232.0588, 10.59972
0.4818421,-2.805481, 232.0588, 10.59972
0.4865329,-6.066763, 237.0874, 10.31681
0.4913407,-9.542768, 242.1366, 10.24185
0.4954196,-13.04063, 247.4577, 10.5686
0.5004852,-16.62607, 252.5914, 10.51607
0.5045758,-20.33065, 257.4449, 10.57032
0.5090833,-24.06286, 262.578, 10.87064
0.5136307,-24.06286, 262.578, 10.87064
0.5182285,-27.70465, 267.1381, 10.98653
0.5228595,-31.35175, 271.2951, 11.05412
0.527316,-34.82538, 275.1142, 11.19352
0.531374,-38.19273, 278.9934, 11.27766
0.5369067,-38.19273, 278.9934, 11.27766
0.5410726,-41.31896, 282.6391, 11.51147
0.5458092,-52.92393, 296.667, 13.5324
0.5507607,-55.4461, 300.0289, 14.05195
0.5556653,-57.8303, 303.1589, 14.63411
0.5602788,-59.93818, 306.0284, 15.28052
0.5646346,-61.92253, 308.5526, 15.91406
0.5698461,-61.92253, 308.5526, 15.91406
0.5740332,-63.62329, 310.7231, 16.41508
0.5789376,-65.17947, 312.7103, 16.95937
0.583527,-65.17947, 312.7103, 16.95937
0.5879567,-66.50637, 314.3344, 17.51945
0.5926686,-67.67691, 316.028, 18.01578
0.5974234,-68.74677, 317.5309, 18.43817
0.6025836,-68.74677, 317.5309, 18.43817
0.6070545,-69.70713, 319.0835, 18.87539
0.6123832,-70.58912, 320.6092, 19.28401
0.6167988,-71.33886, 321.8847, 19.76326
0.621463,-72.00335, 323.1873, 20.26418
0.6259158,-72.00335, 323.1873, 20.26418
0.6302244,-72.54755, 324.4142, 20.78325
0.6352684,-73.05466, 325.4913, 21.32227
0.6397116,-73.05466, 325.4913, 21.32227
0.6445076,-73.43816, 326.3616, 21.90385
0.6486239,-73.78944, 326.9975, 22.4612
0.6529424,-74.0673, 327.3984, 23.04496
0.6583378,-74.0673, 327.3984, 23.04496
0.6624376,-74.28596, 327.7287, 23.53127
0.6677451,-74.45321, 327.8637, 23.99493
0.6723955,-74.59163, 327.7917, 24.46423
0.6769409,-74.71138, 327.6465, 25.01816
0.681957,-74.71138, 327.6465, 25.01816
0.6863148,-74.82225, 327.456, 25.58203
0.6913305,-74.91961, 327.1223, 26.17543
0.6953444,-74.96071, 326.77, 26.75229
0.7007591,-74.96071, 326.77, 26.75229
0.7054888,-74.96673, 326.2901, 27.31952
0.7098599,-74.98354, 325.7879, 27.87089
0.7146492,-74.95969, 325.2227, 28.33461
0.7190484,-74.99329, 324.6079, 28.81306
0.7238931,-74.99329, 324.6079, 28.81306
0.7281971,-75.08622, 324.0721, 29.21125
0.7326074,-75.2621, 323.5864, 29.61883
0.7377957,-75.53049, 323.1393, 30.02156
0.7425747,-75.53049, 323.1393, 30.02156
0.7477804,-75.91855, 322.7381, 30.46018
0.7525493,-76.42473, 322.3629, 30.84825
0.757187,-76.42473, 322.3629, 30.84825
0.7616044,-76.91447, 321.7428, 31.57759
0.7657229,-77.4384, 320.9783, 32.24218
0.7710882,-78.10099, 320.2746, 32.90084
0.7752302,-78.10099, 320.2746, 32.90084
0.7799582,-78.88508, 319.7511, 33.41934
0.7849035,-79.7841, 319.1594, 33.73226
0.7896538,-80.61456, 318.1653, 34.31105
0.7940031,-81.46027, 317.2731, 34.89018
