日付,2021_6_14__13_45_18
年齢,22
性別,男性
右手
スコア(秒),63.79248
時間,手の甲の位置,,手の力_親指,人差し指...
time(s),x,y,z
0.0090712,-117.6334, 492.3416, 147.8323
0.0185732,-117.6766, 492.4569, 147.8398
0.0260616,-117.7541, 492.557, 147.813
0.0338148,-117.7492, 492.6164, 147.8456
0.0399775,-117.7821, 492.7791, 147.9071
0.0467592,-117.7821, 492.7791, 147.9071
0.0538913,-117.7724, 492.8487, 147.9816
0.0597098,-117.8481, 492.9353, 148.0343
0.0672163,-117.9273, 492.9989, 148.0173
0.0729218,-117.9273, 492.9989, 148.0173
0.0798576,-118.0117, 492.9903, 148.0594
0.08775359,-118.0055, 493.0675, 148.077
0.09392479,-118.0081, 493.0847, 148.1048
0.1020085,-117.9772, 493.1526, 148.1527
0.1099794,-118.0071, 493.2029, 148.1895
0.1166726,-118.0071, 493.2029, 148.1895
0.1247821,-117.9934, 493.257, 148.2216
0.1310001,-117.9803, 493.3193, 148.2297
0.1375977,-118.0022, 493.3823, 148.2077
0.14484,-118.129, 493.4125, 148.2783
0.1506851,-118.129, 493.4125, 148.2783
0.157217,-118.1315, 493.4614, 148.314
0.1643408,-118.2084, 493.5991, 148.274
0.1702824,-118.2627, 493.657, 148.2682
0.1769137,-118.2627, 493.657, 148.2682
0.1822316,-118.2524, 493.7307, 148.3113
0.1893577,-118.2361, 493.7521, 148.3685
0.2137654,-118.1976, 493.8654, 148.4404
0.2237181,-118.2522, 493.8874, 148.4572
0.2300411,-118.2522, 493.8874, 148.4572
0.2354695,-118.3057, 493.8908, 148.4412
0.2422397,-118.2837, 493.9262, 148.4244
0.2477194,-118.2837, 493.9262, 148.4244
0.2561311,-118.2573, 493.9808, 148.3953
0.2621726,-118.2613, 494.0067, 148.4317
0.2709136,-118.2811, 494.0235, 148.47
0.2778289,-118.3146, 494.0686, 148.4655
0.2842404,-118.2951, 494.0982, 148.5207
0.2911868,-118.2935, 494.1323, 148.5873
0.2982169,-118.2935, 494.1323, 148.5873
0.3039017,-118.2253, 494.2151, 148.5812
0.3105119,-118.2661, 494.2729, 148.6087
0.3166496,-118.2661, 494.2729, 148.6087
0.3241596,-118.31, 494.3237, 148.603
0.3305218,-118.3166, 494.3675, 148.6292
0.3370154,-118.2449, 494.4139, 148.6751
0.3451326,-118.2267, 494.4657, 148.7242
0.3511925,-118.2267, 494.4657, 148.7242
0.3581708,-118.177, 494.5313, 148.7552
0.3651703,-118.1757, 494.5502, 148.7491
0.3713307,-118.0992, 494.6093, 148.7359
0.378919,-118.1168, 494.6616, 148.6982
0.3865251,-118.1168, 494.6616, 148.6982
0.39138,-118.1471, 494.6814, 148.7258
0.3993351,-118.14, 494.7262, 148.7507
0.4062614,-118.1467, 494.7598, 148.7503
0.4146628,-118.2235, 494.8278, 148.7257
0.4233421,-118.2484, 494.9294, 148.7004
0.4298408,-118.2484, 494.9294, 148.7004
0.4358675,-118.2561, 495.0206, 148.612
0.4434065,-118.2967, 495.0641, 148.5913
0.4496216,-118.2928, 495.113, 148.5813
0.4576848,-118.2706, 495.1213, 148.6131
0.4662958,-118.2344, 495.1149, 148.6576
0.4719133,-118.2344, 495.1149, 148.6576
0.4789922,-118.1574, 495.1065, 148.6966
0.4859933,-118.1923, 495.0656, 148.7228
0.4919607,-118.191, 495.064, 148.7011
0.4996301,-118.191, 495.064, 148.7011
0.504546,-118.2206, 495.0073, 148.7249
0.5123171,-118.223, 494.994, 148.7581
0.5210103,-118.163, 494.9879, 148.7911
0.5269579,-118.1559, 494.9978, 148.7811
0.5344807,-118.1585, 494.952, 148.7272
0.54138,-118.1585, 494.952, 148.7272
0.5465396,-118.0967, 494.8965, 148.7109
0.5538785,-118.0423, 494.8461, 148.7919
0.5602425,-117.9833, 494.7194, 148.8078
0.5692229,-117.9492, 494.6468, 148.8177
0.5762742,-117.9492, 494.6468, 148.8177
0.5813566,-117.9498, 494.5914, 148.7801
0.5884907,-117.9444, 494.5581, 148.7987
0.5942019,-117.9398, 494.5847, 148.803
0.6019189,-117.9398, 494.5847, 148.803
0.6093937,-117.9324, 494.6285, 148.826
0.6142436,-117.9717, 494.7125, 148.9194
0.6221237,-117.967, 494.8149, 148.9374
0.627755,-117.967, 494.8149, 148.9374
0.6348358,-117.98, 494.9694, 148.9557
0.6417738,-118.0425, 495.1064, 149.0471
0.6478941,-118.0805, 495.2774, 149.1421
0.6561766,-118.1016, 495.3971, 149.1719
0.6635028,-118.1612, 495.5772, 149.2228
0.6707705,-118.1612, 495.5772, 149.2228
0.677211,-118.1895, 495.7351, 149.2733
0.6837732,-118.2169, 495.8985, 149.3586
0.6908597,-118.2678, 496.0615, 149.3655
0.6970423,-118.2678, 496.0615, 149.3655
0.7024086,-118.2734, 496.1875, 149.5129
0.7093865,-118.2883, 496.3208, 149.5558
0.7162533,-118.3658, 496.4617, 149.5717
0.7234256,-118.3658, 496.4617, 149.5717
0.7299019,-118.4638, 496.6074, 149.5516
0.7365838,-118.4863, 496.7511, 149.5427
0.7446855,-118.5704, 496.9109, 149.5564
0.750999,-118.5521, 497.1022, 149.5534
0.7584333,-118.5521, 497.1022, 149.5534
0.7656772,-118.6631, 497.2593, 149.5465
0.7712002,-118.7656, 497.3768, 149.5534
0.7788137,-118.8005, 497.5415, 149.5025
0.7866477,-118.847, 497.6338, 149.4685
0.793413,-118.8727, 497.7397, 149.4961
0.8005167,-118.8727, 497.7397, 149.4961
0.805297,-118.8842, 497.8574, 149.4968
0.8120673,-118.9397, 497.9445, 149.4106
0.8207571,-118.9479, 498.0106, 149.3926
0.8263341,-118.9479, 498.0106, 149.3926
0.8338009,-118.9562, 498.1072, 149.2838
0.8399296,-118.9453, 498.163, 149.2416
0.8487446,-118.9458, 498.1817, 149.1869
0.8563247,-118.9717, 498.197, 149.162
0.8621228,-118.9717, 498.197, 149.162
0.8692213,-118.9793, 498.1934, 149.1497
0.8763871,-118.9328, 498.1986, 149.1616
0.8831723,-118.9309, 498.2561, 149.1316
0.890365,-118.9068, 498.2655, 149.1173
0.8975039,-118.9068, 498.2655, 149.1173
0.9032294,-118.844, 498.275, 149.1219
0.9110856,-118.889, 498.1674, 149.1804
0.9177258,-118.8167, 498.1195, 149.1016
0.9252773,-118.8559, 498.0497, 149.0465
0.9324895,-118.8559, 498.0497, 149.0465
0.9382822,-118.7299, 497.9861, 149.0454
0.9457183,-118.6401, 497.8846, 148.992
0.9531906,-118.6171, 497.8129, 148.9833
0.9591464,-118.4913, 497.7193, 148.9236
0.9663722,-118.4913, 497.7193, 148.9236
0.9717441,-118.3982, 497.5798, 148.8875
0.9796932,-118.3285, 497.4262, 148.8515
0.987386,-118.2405, 497.2634, 148.7921
0.9933578,-118.1914, 497.0644, 148.7807
1.002063,-118.1431, 496.8853, 148.7183
1.009217,-118.1431, 496.8853, 148.7183
1.014762,-118.0148, 496.6856, 148.647
1.023539,-117.9558, 496.4784, 148.6872
1.03047,-117.8736, 496.2707, 148.5719
1.036601,-117.8057, 496.106, 148.4466
1.042506,-117.8057, 496.106, 148.4466
1.047621,-117.6932, 495.9175, 148.3689
1.054958,-117.6932, 495.9175, 148.3689
1.061907,-117.6217, 495.791, 148.2435
1.069594,-117.5203, 495.6277, 148.1016
1.076123,-117.4938, 495.4159, 148.072
1.08248,-117.3545, 495.186, 148.0177
1.091638,-117.2684, 494.9467, 147.9338
1.099764,-117.1532, 494.7323, 147.8316
1.106319,-117.0385, 494.4793, 147.7861
1.11308,-117.0385, 494.4793, 147.7861
1.120747,-116.8805, 494.18, 147.6926
1.125938,-116.6686, 493.8895, 147.6039
1.133665,-116.6686, 493.8895, 147.6039
1.13917,-116.5673, 493.5956, 147.4328
1.145552,-116.4947, 493.2621, 147.3347
1.153715,-116.3079, 492.9375, 147.1765
1.159093,-116.0828, 492.5984, 147.0944
1.166716,-116.0828, 492.5984, 147.0944
1.17196,-115.7863, 492.2509, 146.967
1.178663,-115.5089, 491.9415, 146.877
1.18673,-115.1373, 491.6796, 146.7794
1.193272,-114.7065, 491.4409, 146.6483
1.201151,-114.2186, 491.3109, 146.4677
1.209638,-114.2186, 491.3109, 146.4677
1.214867,-113.6739, 491.2311, 146.346
1.237,-111.8757, 491.2612, 145.7934
1.246121,-111.1256, 491.2385, 145.6384
1.253803,-111.1256, 491.2385, 145.6384
1.259099,-110.3439, 491.2059, 145.5692
1.266319,-109.4706, 490.997, 145.4091
1.272325,-108.5248, 490.8621, 145.2296
1.279221,-107.4946, 490.7898, 145.1192
1.285943,-107.4946, 490.7898, 145.1192
1.291101,-106.4203, 490.8793, 144.9748
1.298802,-105.3478, 491.144, 144.8928
1.305504,-105.3478, 491.144, 144.8928
1.311454,-104.2443, 491.2153, 144.7578
1.31799,-103.105, 491.3251, 144.6434
1.325021,-101.7648, 491.0909, 144.4036
1.333199,-100.5434, 491.0464, 144.1175
1.340284,-99.26369, 491.0935, 143.8805
1.347286,-99.26369, 491.0935, 143.8805
1.354939,-97.99823, 491.2383, 143.6963
1.360509,-96.92194, 491.2305, 143.3437
1.368438,-95.67516, 491.1195, 143.0533
1.37557,-95.67516, 491.1195, 143.0533
1.380623,-94.36566, 490.8948, 142.8135
1.388561,-92.98854, 490.6531, 142.5016
1.394419,-91.55049, 490.3963, 142.2276
1.401968,-90.08459, 490.1916, 142.0224
1.408541,-90.08459, 490.1916, 142.0224
1.413443,-88.59208, 489.8877, 141.7859
1.421548,-86.98942, 489.3623, 141.603
1.428793,-85.4891, 488.9706, 141.354
1.436587,-83.92077, 488.6172, 141.1586
1.44343,-83.92077, 488.6172, 141.1586
1.449498,-82.50852, 488.2816, 140.9117
1.458161,-81.2164, 487.9861, 140.4932
1.465726,-79.90878, 487.7649, 140.1493
1.472218,-78.65339, 487.5256, 139.7755
1.480256,-77.3279, 487.3117, 139.5892
1.487533,-77.3279, 487.3117, 139.5892
1.492958,-76.17203, 487.3457, 139.4898
1.500581,-74.99046, 487.2867, 139.4315
1.505909,-73.88213, 487.1867, 139.3336
1.513327,-72.81889, 487.0927, 139.1925
1.520357,-72.81889, 487.0927, 139.1925
1.525859,-71.673, 487.2335, 139.0203
1.533735,-70.42408, 487.3995, 139.0575
1.539948,-69.38433, 487.6846, 139.0623
1.547345,-69.38433, 487.6846, 139.0623
1.555541,-68.31002, 487.8828, 138.9735
1.560768,-67.35486, 488.1078, 138.8108
1.568269,-66.24573, 488.3949, 138.6561
1.575881,-65.15816, 488.7695, 138.5052
1.580872,-65.15816, 488.7695, 138.5052
1.588159,-63.98762, 488.9481, 138.2457
1.593803,-62.71009, 488.9935, 137.9985
1.601871,-61.56103, 489.0594, 137.5814
1.608302,-61.56103, 489.0594, 137.5814
1.612986,-60.24394, 489.0532, 137.0943
1.620456,-58.84281, 488.9561, 136.6538
1.626605,-57.20299, 488.6588, 136.4121
1.634396,-57.20299, 488.6588, 136.4121
1.641753,-55.7381, 488.3828, 136.1086
1.646986,-54.21903, 488.0746, 135.6004
1.654691,-52.48251, 487.8503, 135.2972
1.660394,-52.48251, 487.8503, 135.2972
1.667202,-50.72178, 487.4531, 135.0789
1.672392,-48.86363, 487.1832, 134.7957
1.681093,-47.08597, 486.8888, 134.6511
1.68936,-45.20502, 486.7042, 134.4728
1.696294,-43.33188, 486.3563, 134.4369
1.703863,-43.33188, 486.3563, 134.4369
1.710651,-41.5797, 486.034, 134.3703
1.717367,-39.72246, 485.64, 134.2524
1.724788,-38.06652, 485.2055, 134.07
1.732508,-36.3666, 484.789, 133.9123
